ID,Question,Confidence Question (AI),Confidence Question (Manual),Réponses Proposées,Confidence Réponses Proposées (AI),Confidence Réponses Proposées (Manual),Réponse Vraie,Confidence Réponse Vraie (AI),Confidence Réponse Vraie (Manual)
module_01_revision_neuro_support_prepa_iade_2025_def_0,"Quelle est la définition correcte de ""–Somatosensitif"" ?",7.0,,"A alpha (I) et A gamma (II) | Mécanisme d'inhibition de la transmission synaptique | A alpha (I), A beta ( II) et A delta ( III, dlr toucher, temp ) | Processus d'activation des récepteurs périphériques",8.0,,A alpha (I) et A gamma (II),7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_1,"Quelle est la définition correcte de ""–Somatomoteur"" ?",7.0,,"Processus d'activation des récepteurs périphériques | A alpha (I) et A gamma (II) | A alpha (I), A beta ( II) et A delta ( III, dlr toucher, temp ) | Mécanisme d'inhibition de la transmission synaptique",8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_0,"Quelle est la définition correcte de ""–8 n. cervicaux (nom"" ?",6.0,,Mécanisme d'inhibition de la transmission synaptique | v. dessous) | Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques,7.5,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_1,"Quelle est la définition correcte de ""Tétraplégie"" ?",7.0,,"Mécanisme d'inhibition de la transmission synaptique | «déficit touchant les 4 membres », même | Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques",8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_0,"Quelle est la définition correcte de ""–Décérébration ("" ?",6.0,,Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques | extension+rotation ext MS) | Triade de Cushing),8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_1,"Quelle est la définition correcte de ""("" ?",6.0,,Triade de Cushing) | extension+rotation ext MS) | Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques,8.0,,Triade de Cushing),7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_0,"Quelle est la définition correcte de ""•Centres supérieurs d’intégration"" ?",7.0,,"Mécanisme d'inhibition de la transmission synaptique | hypothalamus +, | Processus d'activation des récepteurs périphériques | Régulation de l'homéostasie cellulaire",7.5,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_01_revision_neuro_support_prepa_iade_2025_def_0,"Quelle est la définition correcte de ""libérant A et NA directement dans la circulation sanguine"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | hormone) ParaΣΣAch-N | Processus d'activation des récepteurs périphériques,8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_12,"Quelle structure est responsable de : ""le tissu conjonctif"" ?",7.5,,Cellules de soutien | Cellule nerveuses | Cellules de soutien,7.5,,Cellules de soutien,7.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_1,"Quelle structure est responsable de : ""Ligament longitudinal"" ?",7.5,,C | A | B | D,2.0,,C,4.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_3,"Quelle structure est responsable de : ""Disque intervertébral"" ?",7.5,,D | C | B | A,2.0,,D,4.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_4,"Quelle structure est responsable de : ""Ligament longitudinal"" ?",7.5,,D | C | A | B,2.0,,D,4.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_6,"Quelle structure est responsable de : ""Capsule articulaire"" ?",7.5,,B | D | A | C,2.0,,B,4.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_8,"Quelle structure est responsable de : ""Ligament interépineux"" ?",7.5,,B | A | F | C,2.0,,B,4.5,
module_01_revision_neuro_support_prepa_iade_2025_anat_9,"Quelle structure est responsable de : ""Ligament supraépineux"" ?",7.5,,A | B | C | G,2.0,,A,4.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_4,"Quelle est la définition correcte de ""–nouveau né"" ?",7.0,,Système de conditionnement de l’air | Épuration des particules et des agents pathogènes | ventilation nasale exclusive | jusqu’à 100 km/h,7.5,,Système de conditionnement de l’air,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_5,"Quelle est la définition correcte de ""–Eternuements"" ?",7.0,,ventilation nasale exclusive | jusqu’à 100 km/h | Système de conditionnement de l’air | Épuration des particules et des agents pathogènes,7.5,,ventilation nasale exclusive,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Surface totale"" ?",7.0,,terrain de tennis | paroi musculaire | petits sacs recouverts de | lobule pulmonaire,8.0,,terrain de tennis,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Bronchioles"" ?",7.0,,lobule pulmonaire | petits sacs recouverts de | paroi musculaire | terrain de tennis,8.0,,lobule pulmonaire,7.5,
